FlightID,RouteCode,Origin,Destination,OriginCountry,DestinationCountry,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
F0001,DEL-BLR,Delhi,Bangalore,India,India,2023-01-26,145,B737,160,115,2765635,2152006
F0002,DEL-BLR,Delhi,Bangalore,India,India,2024-07-12,145,B737,160,91,4249518,3602200
F0003,BOM-DEL,Mumbai,Delhi,India,India,2023-04-06,120,A320,180,117,2719899,2385009
F0004,BOM-DEL,Mumbai,Delhi,India,India,2024-07-28,120,A320,180,115,5026995,4257019
F0005,BOM-JFK,Mumbai,New York,India,USA,2023-10-12,910,B777,300,151,2787913,2632762
F0006,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-10-12,280,A320,180,109,2409990,2494398
F0007,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-15,280,A320,180,101,3322698,2438364
F0008,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-09-28,280,A320,180,95,3620260,3213631
F0009,DEL-LHR,Delhi,London,India,UK,2023-03-22,520,B787,250,195,5306535,5255017
F0010,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-08-14,280,A320,180,114,1431612,1025089
F0011,DEL-HYD,Delhi,Hyderabad,India,India,2023-10-24,115,A320,180,100,2325600,2333203
F0012,DEL-LHR,Delhi,London,India,UK,2023-10-12,520,B787,250,183,9087780,9014520
F0013,BOM-GOA,Mumbai,Goa,India,India,2024-01-15,75,ATR72,72,58,1260340,1177865
F0014,DEL-BLR,Delhi,Bangalore,India,India,2023-06-25,145,B737,160,148,3558364,2694360
F0015,DEL-LHR,Delhi,London,India,UK,2023-10-04,520,B787,250,243,12136149,11418376
F0016,DEL-HYD,Delhi,Hyderabad,India,India,2023-11-29,115,A320,180,97,2231970,2204362
F0017,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-02-15,280,A320,180,124,1529788,1183817
F0018,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-08-06,280,A320,180,173,7044041,5906225
F0019,BOM-JFK,Mumbai,New York,India,USA,2023-05-27,910,B777,300,217,3721550,2926327
F0020,BOM-DXB,Mumbai,Dubai,India,UAE,2024-08-21,190,A321,200,154,7121268,5980370
F0021,DEL-HYD,Delhi,Hyderabad,India,India,2023-05-22,115,A320,180,155,6253165,4576180
F0022,BOM-DEL,Mumbai,Delhi,India,India,2023-04-23,120,A320,180,109,5354080,4047650
F0023,DEL-LHR,Delhi,London,India,UK,2023-03-07,520,B787,250,174,5743566,5218379
F0024,BOM-JFK,Mumbai,New York,India,USA,2024-06-25,910,B777,300,214,9470784,9482839
F0025,BOM-DEL,Mumbai,Delhi,India,India,2023-04-28,120,A320,180,177,7644630,7360305
F0026,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-04-25,280,A320,180,127,4634484,3500681
F0027,BOM-DEL,Mumbai,Delhi,India,India,2023-09-27,120,A320,180,154,3035032,2663812
F0028,DEL-BLR,Delhi,Bangalore,India,India,2023-11-02,145,B737,160,144,6898896,5309520
F0029,BLR-SIN,Bangalore,Singapore,India,Singapore,2023-06-15,280,A320,180,159,6798363,6944342
F0030,BLR-SIN,Bangalore,Singapore,India,Singapore,2024-05-15,280,A320,180,92,1410452,1445973
F0031,BOM-DXB,Mumbai,Dubai,India,UAE,2023-09-03,190,A321,200,107,2544995,2563582
F0032,DEL-BLR,Delhi,Bangalore,India,India,2023-03-29,145,B737,160,142,1779970,1855253
F0033,BOM-GOA,Mumbai,Goa,India,India,2023-05-12,75,ATR72,72,66,2906046,2202185
